Date,Open,High,Low,Close,Adj Close,Volume
2012-10-16,122.900002,122.940002,121.940002,121.980003,100.392349,5398700
2012-10-17,121.169998,121.260002,120.570000,120.849998,99.462303,6932500
2012-10-18,121.120003,121.529999,119.870003,120.110001,98.853325,8558600
2012-10-19,120.339996,121.809998,120.279999,121.739998,100.194763,7616700
2012-10-22,121.430000,121.839996,120.940002,120.959999,99.552841,6910600
2012-10-23,122.099998,122.730003,122.019997,122.690002,100.976646,5760600
2012-10-24,121.860001,122.290001,121.480003,121.480003,99.980843,6824500
2012-10-25,120.559998,121.540001,120.330002,120.860001,99.470551,5292500
2012-10-26,121.440002,122.650002,121.269997,122.639999,100.935493,5889400
2012-10-31,122.680000,123.699997,122.629997,123.360001,101.528069,5025600
2012-11-01,122.769997,122.879997,122.080002,122.349998,100.696815,3659700
2012-11-02,121.279999,122.309998,121.239998,122.260002,100.622734,3527800
2012-11-05,122.820000,123.250000,122.790001,122.949997,101.190628,2935700
2012-11-06,122.550003,122.860001,121.779999,121.790001,100.235924,4484600
2012-11-07,123.949997,124.529999,123.760002,124.000000,102.054794,10071000
2012-11-08,123.790001,125.860001,123.430000,125.839996,103.569199,8579500
2012-11-09,125.629997,125.980003,125.180000,125.980003,103.684441,5036900
2012-11-12,125.839996,126.379997,125.790001,126.190002,103.857231,2072200
2012-11-13,126.800003,126.820000,125.989998,126.610001,104.202911,2863800
2012-11-14,125.720001,126.790001,125.599998,126.730003,104.301689,4694600
2012-11-15,126.099998,127.019997,126.000000,126.480003,104.095917,5549600
2012-11-16,126.360001,127.190002,126.279999,126.370003,104.005371,4591100
2012-11-19,125.459999,125.809998,125.300003,125.660004,103.421036,3621600
2012-11-20,125.480003,125.669998,124.379997,124.400002,102.384018,4659300
2012-11-21,124.190002,124.419998,124.019997,124.330002,102.326408,2422800
2012-11-23,124.300003,124.449997,124.110001,124.209999,102.227676,987200
2012-11-26,125.160004,125.519997,124.750000,124.800003,102.713242,2799000
2012-11-27,124.940002,125.389999,124.699997,125.290001,103.116524,2544400
2012-11-28,125.970001,126.199997,125.089996,125.110001,102.968391,3569700
2012-11-29,124.860001,125.440002,124.660004,125.129997,102.984833,2761000
2012-11-30,125.480003,125.540001,124.709999,124.790001,102.704994,3702300
2012-12-03,123.720001,124.790001,123.620003,124.660004,102.799858,5427800
2012-12-04,125.019997,125.410004,124.839996,125.379997,103.393578,2586300
2012-12-05,125.400002,125.809998,125.169998,125.320000,103.344101,1978200
2012-12-06,125.860001,126.080002,125.510002,125.589996,103.566757,2301200
